date,league,away_team,home_team,venue_id,venue_name,timezone,phase,delay_minutes,delay_detail,source_url,label_quality
2019-08-08,NFL,New York Jets,New York Giants,venue_metlife_stadium,MetLife Stadium,America/New_York,in_game,59,NFL report gives suspension at 7:39 PM local and restart at 8:38 PM; elapsed time is 59 minutes.,https://www.nfl.com/news/jets-giants-resumes-after-hour-long-weather-delay-0ap3000001039826,official NFL report; duration calculated from reported suspension and restart
2019-09-12,NFL,Tampa Bay Buccaneers,Carolina Panthers,venue_bank_of_america_stadium,Bank of America Stadium,America/New_York,in_game,26,NFL report states the delay began at 8:39 PM ET and play resumed 26 minutes later.,https://www.nfl.com/news/bucs-panthers-resumes-after-26-min-weather-delay-0ap3000001054010,official NFL report
2020-09-20,NFL,Buffalo Bills,Miami Dolphins,miami,Hard Rock Stadium,America/New_York,in_game,36,NFL reports return after 36-minute lightning delay.,https://www.nfl.com/news/bills-dolphins-return-to-locker-room-during-lightning-delay,official NFL report
2021-10-04,NFL,Las Vegas Raiders,Los Angeles Chargers,inglewood,SoFi Stadium,America/Los_Angeles,pregame,35,Scheduled 5:15 PM PDT; gamebook start 5:50 PM PDT. Roof was closed; lightning was reported in area.,https://www.nfl.com/_amp/raiders-chargers-monday-night-game-under-weather-delay,official NFL report and gamebook
2022-08-04,NFL,Jacksonville Jaguars,Las Vegas Raiders,canton_historical,Tom Benson Hall of Fame Stadium,America/New_York,pregame,40,Hall of Fame Game began 40 minutes late because of lightning in area.,https://www.nfl.com/news/pro-football-hall-of-fame-game-delayed-due-to-inclement-weather,official NFL report
2023-08-11,NFL,Washington Commanders,Cleveland Browns,cleveland,Cleveland Browns Stadium,America/New_York,pregame,78,Scheduled 7:30 PM ET; official gamebook records 8:48 PM start.,https://www.nfl.com/news/commanders-browns-preseason-game-delayed-due-to-inclement-weather,official NFL report and gamebook
2023-09-16,NCAA,Alabama Crimson Tide,South Florida Bulls,venue_raymond_james_stadium,Raymond James Stadium,America/New_York,in_game,54,USF game notes report the hold began at 4:36 PM and resumed at 5:30 PM; elapsed wall time is 54 minutes.,https://gousfbulls.com/documents/download/2023/9/19/4-_RICE_-_2023_USF_Game_NOTES__.pdf,official team game notes
2024-09-05,NFL,Baltimore Ravens,Kansas City Chiefs,kansas_city,GEHA Field at Arrowhead Stadium,America/Chicago,pregame,24,Official gamebook records 7:44 PM CDT start versus scheduled 7:20 PM CDT.,https://www.nfl.com/news/2024-nfl-kickoff-game-between-ravens-chiefs-delayed-due-to-inclement-weather,official NFL report and gamebook
2024-10-06,NFL,Dallas Cowboys,Pittsburgh Steelers,pittsburgh,Acrisure Stadium,America/New_York,pregame,86,Scheduled 8:20 PM ET; official gamebook records 9:46 PM EDT start.,https://www.nfl.com/news/cowboys-steelers-sunday-night-game-delayed-due-to-inclement-weather,official NFL report and gamebook
2025-09-04,NFL,Dallas Cowboys,Philadelphia Eagles,philadelphia,Lincoln Financial Field,America/New_York,in_game,65,NFL timeline reports lightning delay from about 10:25 PM to 11:30 PM ET.,https://www.nfl.com/news/2025-kickoff-game-between-cowboys-eagles-delayed-due-to-inclement-weather,official NFL timeline
2025-09-07,NFL,Carolina Panthers,Jacksonville Jaguars,venue_everbank_stadium,EverBank Stadium,America/New_York,in_game,76,NFL reports the game paused for 1 hour 16 minutes due to lightning and resumed at 3:10 PM ET.,https://www.nfl.com/news/panthers-jaguars-paused-in-second-quarter-due-to-inclement-weather-in-jacksonville,official NFL report
